2026/09/17 14:18:54 migrations applied
2026/09/17 14:18:54 REST UserService listening on :8090
2026/09/17 14:18:54 metrics listening on :9100
2026/09/17 14:18:54 gRPC UserService listening on :50060
[GIN] 2026/09/17 - 14:19:01 | 200 |       67.31µs |       127.0.0.1 | GET      "/healthz"
[GIN] 2026/09/17 - 14:19:12 | 200 |    7.924641ms |       127.0.0.1 | GET      "/v1/drivers?status=available&limit=1"
[GIN] 2026/09/17 - 14:19:19 | 200 |    4.294767ms |       127.0.0.1 | GET      "/v1/drivers?status=available&limit=2"
[GIN] 2026/09/17 - 14:19:27 | 200 |    4.818072ms |       127.0.0.1 | GET      "/v1/drivers?status=available&limit=1"
[GIN] 2026/09/17 - 14:20:07 | 200 |    2.891054ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:04 | 200 |    5.896834ms |       127.0.0.1 | GET      "/v1/drivers?page_size=3"
[GIN] 2026/09/17 - 14:21:05 | 200 |    2.685784ms |       127.0.0.1 | GET      "/v1/drivers?page_size=1"
[GIN] 2026/09/17 - 14:21:05 | 200 |    1.907462ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:05 | 200 |    3.257894ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:07 | 201 |    4.770079ms |       127.0.0.1 | POST     "/v1/ratings"
[GIN] 2026/09/17 - 14:21:07 | 200 |    2.374656ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |    2.625405ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |    2.442552ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |    1.655335ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |    1.555939ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |    1.782797ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |    2.161376ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |    2.447822ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |    1.907497ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |    1.985081ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    2.020702ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    2.230723ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    2.039182ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    3.857906ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=20"
[GIN] 2026/09/17 - 14:21:08 | 200 |    3.722783ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=20"
[GIN] 2026/09/17 - 14:21:10 | 200 |    1.885655ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:10 | 200 |    3.392164ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:11 | 200 |    1.528651ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.644961ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.048482ms |       127.0.0.1 | GET      "/v1/drivers/5598f1a2-db5f-4b49-a716-ee3bb054dd9b"
[GIN] 2026/09/17 - 14:21:12 | 200 |     968.256µs |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:12 | 200 |     996.225µs |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:12 | 200 |     1.13135ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:12 | 200 |     697.055µs |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:12 | 200 |     707.015µs |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.255334ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:12 | 200 |     1.36024ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
