2026/09/17 14:18:54 migrations applied
2026/09/17 14:18:54 metrics listening on :9103
2026/09/17 14:18:54 REST UserService listening on :8093
2026/09/17 14:18:54 gRPC UserService listening on :50063
[GIN] 2026/09/17 - 14:19:01 | 200 |      50.465µs |       127.0.0.1 | GET      "/healthz"
[GIN] 2026/09/17 - 14:19:12 | 200 |    8.452321ms |       127.0.0.1 | GET      "/v1/drivers?status=available&limit=1"
[GIN] 2026/09/17 - 14:20:07 | 200 |     2.58395ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:05 | 200 |    6.032309ms |       127.0.0.1 | GET      "/v1/drivers?page_size=3"
[GIN] 2026/09/17 - 14:21:05 | 200 |    2.617458ms |       127.0.0.1 | GET      "/v1/drivers?page_size=1"
[GIN] 2026/09/17 - 14:21:05 | 200 |    1.689277ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:05 | 200 |    1.129379ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:21:07 | 200 |    1.706997ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    2.049844ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |     2.28876ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    1.861404ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    3.298728ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=20"
[GIN] 2026/09/17 - 14:21:10 | 200 |    2.363826ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:21:10 | 200 |    3.899915ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:12 | 200 |    2.025165ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:12 | 200 |    2.093698ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.427207ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.768586ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.642123ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.524815ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
